index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,null,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,null,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,0,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,815139721185.0,VND,pdf
7,Total assets,Tổng tài sản,2959528044882,VND,pdf
8,Selling expenses,Chi phí bán hàng,2559780075,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,7038832857,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,null,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,35087032191,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,901975274,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,12898800278,VND,pdf
17,Production cost,Tổng chi phí sản xuất,20555919814,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,21899978770,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,2244738767572,VND,pdf
23,Market value of equity,Vốn hóa thị trường,null,VND,yahoo
24,Total liabilities,Nợ phải trả,714789277310,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,-20783124811,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,15216934237,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,3704958528,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,62489079963,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,528893570138,VND,pdf
30,Current assets,Tài sản ngắn hạn,1100589100452,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,185895707172,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.0071,%,computed
33,Total inventory,Hàng tồn kho,16715520198,VND,pdf
34,Divident payment,Cổ tức đã trả,0,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,101.742,VND,pdf
36,Number of employees,Số lượng nhân viên,33,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,690678624,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
